# TEMPERATURE = 8.500000e+01
# FREQ WR(AV) WI(AV)
3.98107170553e+01 1.38148016723e+03 -2.45038534876e+01
4.07380277804e+01 1.38145968823e+03 -2.50742498154e+01
4.16869383470e+01 1.38143824474e+03 -2.56579058057e+01
4.26579518802e+01 1.38141579137e+03 -2.62551284168e+01
4.36515832240e+01 1.38139228057e+03 -2.68662316209e+01
4.46683592151e+01 1.38136766261e+03 -2.74915365586e+01
4.57088189615e+01 1.38134188538e+03 -2.81313716950e+01
4.67735141287e+01 1.38131489434e+03 -2.87860729792e+01
4.78630092323e+01 1.38128663238e+03 -2.94559840070e+01
4.89778819368e+01 1.38125703971e+03 -3.01414561862e+01
5.01187233627e+01 1.38122605374e+03 -3.08428489047e+01
5.12861383991e+01 1.38119360894e+03 -3.15605297019e+01
5.24807460250e+01 1.38115963670e+03 -3.22948744430e+01
5.37031796370e+01 1.38112406519e+03 -3.30462674961e+01
5.49540873858e+01 1.38108681920e+03 -3.38151019120e+01
5.62341325190e+01 1.38104782002e+03 -3.46017796076e+01
5.75439937337e+01 1.38100698523e+03 -3.54067115518e+01
5.88843655356e+01 1.38096422854e+03 -3.62303179538e+01
6.02559586074e+01 1.38091945963e+03 -3.70730284551e+01
6.16595001861e+01 1.38087258393e+03 -3.79352823238e+01
6.30957344480e+01 1.38082350246e+03 -3.88175286516e+01
6.45654229035e+01 1.38077211160e+03 -3.97202265537e+01
6.60693448008e+01 1.38071830285e+03 -4.06438453709e+01
6.76082975392e+01 1.38066196268e+03 -4.15888648749e+01
6.91830970919e+01 1.38060297220e+03 -4.25557754751e+01
7.07945784384e+01 1.38054120699e+03 -4.35450784284e+01
7.24435960075e+01 1.38047653680e+03 -4.45572860510e+01
7.41310241301e+01 1.38040882529e+03 -4.55929219321e+01
7.58577575029e+01 1.38033792976e+03 -4.66525211496e+01
7.76247116629e+01 1.38026370082e+03 -4.77366304874e+01
7.94328234724e+01 1.38018598215e+03 -4.88458086543e+01
8.12830516164e+01 1.38010461008e+03 -4.99806265043e+01
8.31763771103e+01 1.38001941335e+03 -5.11416672576e+01
8.51138038202e+01 1.37993021270e+03 -5.23295267228e+01
8.70963589956e+01 1.37983682051e+03 -5.35448135196e+01
8.91250938134e+01 1.37973904044e+03 -5.47881493012e+01
9.12010839356e+01 1.37963666698e+03 -5.60601689773e+01
9.33254300797e+01 1.37952948509e+03 -5.73615209359e+01
9.54992586021e+01 1.37941726973e+03 -5.86928672647e+01
9.77237220956e+01 1.37929978538e+03 -6.00548839709e+01
1.00000000000e+02 1.37917678562e+03 -6.14482611992e+01
1.02329299228e+02 1.37904801258e+03 -6.28737034473e+01
1.04712854805e+02 1.37891319641e+03 -6.43319297787e+01
1.07151930524e+02 1.37877205481e+03 -6.58236740317e+01
1.09647819614e+02 1.37862429238e+03 -6.73496850242e+01
1.12201845430e+02 1.37846960007e+03 -6.89107267541e+01
