# TEMPERATURE = 2.500000e+01
# FREQ WR(AV) WI(AV)
8.91250938134e+00 1.56322152188e+03 -6.05603475969e+00
9.12010839356e+00 1.56322041676e+03 -6.19709355182e+00
9.33254300797e+00 1.56321925956e+03 -6.34143771215e+00
9.54992586021e+00 1.56321804783e+03 -6.48914374434e+00
9.77237220956e+00 1.56321677899e+03 -6.64028993244e+00
1.00000000000e+01 1.56321545035e+03 -6.79495638227e+00
1.02329299228e+01 1.56321405910e+03 -6.95322506369e+00
1.04712854805e+01 1.56321260228e+03 -7.11517985395e+00
1.07151930524e+01 1.56321107681e+03 -7.28090658191e+00
1.09647819614e+01 1.56320947945e+03 -7.45049307339e+00
1.12201845430e+01 1.56320780681e+03 -7.62402919750e+00
1.14815362150e+01 1.56320605535e+03 -7.80160691410e+00
1.17489755494e+01 1.56320422134e+03 -7.98332032227e+00
1.20226443462e+01 1.56320230091e+03 -8.16926570994e+00
1.23026877081e+01 1.56320028997e+03 -8.35954160472e+00
1.25892541179e+01 1.56319818427e+03 -8.55424882576e+00
1.28824955169e+01 1.56319597934e+03 -8.75349053694e+00
1.31825673856e+01 1.56319367049e+03 -8.95737230120e+00
1.34896288259e+01 1.56319125284e+03 -9.16600213615e+00
1.38038426460e+01 1.56318872126e+03 -9.37949057094e+00
1.41253754462e+01 1.56318607038e+03 -9.59795070441e+00
1.44543977075e+01 1.56318329457e+03 -9.82149826468e+00
1.47910838817e+01 1.56318038796e+03 -1.00502516699e+01
1.51356124844e+01 1.56317734437e+03 -1.02843320907e+01
1.54881661891e+01 1.56317415736e+03 -1.05238635136e+01
1.58489319246e+01 1.56317082016e+03 -1.07689728065e+01
1.62181009736e+01 1.56316732570e+03 -1.10197897850e+01
1.65958690744e+01 1.56316366656e+03 -1.12764472805e+01
1.69824365246e+01 1.56315983500e+03 -1.15390812104e+01
1.73780082875e+01 1.56315582288e+03 -1.18078306487e+01
1.77827941004e+01 1.56315162169e+03 -1.20828378993e+01
1.81970085861e+01 1.56314722254e+03 -1.23642485706e+01
1.86208713666e+01 1.56314261608e+03 -1.26522116513e+01
1.90546071796e+01 1.56313779256e+03 -1.29468795889e+01
1.94984459976e+01 1.56313274174e+03 -1.32484083689e+01
1.99526231497e+01 1.56312745293e+03 -1.35569575967e+01
2.04173794467e+01 1.56312191489e+03 -1.38726905807e+01
2.08929613085e+01 1.56311611590e+03 -1.41957744177e+01
2.13796208950e+01 1.56311004366e+03 -1.45263800799e+01
2.18776162395e+01 1.56310368529e+03 -1.48646825039e+01
2.23872113857e+01 1.56309702731e+03 -1.52108606819e+01
2.29086765277e+01 1.56309005562e+03 -1.55650977548e+01
2.34422881532e+01 1.56308275543e+03 -1.59275811072e+01
2.39883291902e+01 1.56307511126e+03 -1.62985024648e+01
2.45470891569e+01 1.56306710691e+03 -1.66780579940e+01
2.51188643151e+01 1.56305872542e+03 -1.70664484030e+01
2.57039578277e+01 1.56304994902e+03 -1.74638790463e+01
2.63026799190e+01 1.56304075910e+03 -1.78705600302e+01
2.69153480393e+01 1.56303113619e+03 -1.82867063219e+01
2.75422870334e+01 1.56302105990e+03 -1.87125378597e+01
2.81838293126e+01 1.56301050886e+03 -1.91482796667e+01
2.88403150313e+01 1.56299946072e+03 -1.95941619665e+01
2.95120922667e+01 1.56298789207e+03 -2.00504203008e+01
3.01995172040e+01 1.56297577838e+03 -2.05172956511e+01
3.09029543251e+01 1.56296309400e+03 -2.09950345610e+01
3.16227766017e+01 1.56294981204e+03 -2.14838892630e+01
3.23593656930e+01 1.56293590436e+03 -2.19841178067e+01
3.31131121483e+01 1.56292134150e+03 -2.24959841901e+01
3.38844156139e+01 1.56290609260e+03 -2.30197584940e+01
3.46736850453e+01 1.56289012536e+03 -2.35557170187e+01
3.54813389234e+01 1.56287340596e+03 -2.41041424239e+01
3.63078054770e+01 1.56285589898e+03 -2.46653238713e+01
3.71535229097e+01 1.56283756734e+03 -2.52395571700e+01
3.80189396321e+01 1.56281837222e+03 -2.58271449256e+01
3.89045144994e+01 1.56279827297e+03 -2.64283966913e+01
3.98107170553e+01 1.56277722702e+03 -2.70436291226e+01
4.07380277804e+01 1.56275518982e+03 -2.76731661353e+01
4.16869383470e+01 1.56273211470e+03 -2.83173390660e+01
4.26579518802e+01 1.56270795281e+03 -2.89764868364e+01
4.36515832240e+01 1.56268265301e+03 -2.96509561202e+01
4.46683592151e+01 1.56265616174e+03 -3.03411015140e+01
4.57088189615e+01 1.56262842294e+03 -3.10472857102e+01
4.67735141287e+01 1.56259937791e+03 -3.17698796747e+01
4.78630092323e+01 1.56256896518e+03 -3.25092628266e+01
4.89778819368e+01 1.56253712041e+03 -3.32658232220e+01
5.01187233627e+01 1.56250377624e+03 -3.40399577408e+01
5.12861383991e+01 1.56246886212e+03 -3.48320722767e+01
5.24807460250e+01 1.56243230423e+03 -3.56425819309e+01
5.37031796370e+01 1.56239402525e+03 -3.64719112091e+01
5.49540873858e+01 1.56235394424e+03 -3.73204942213e+01
5.62341325190e+01 1.56231197648e+03 -3.81887748856e+01
5.75439937337e+01 1.56226803326e+03 -3.90772071350e+01
5.88843655356e+01 1.56222202170e+03 -3.99862551273e+01
6.02559586074e+01 1.56217384459e+03 -4.09163934586e+01
6.16595001861e+01 1.56212340014e+03 -4.18681073800e+01
6.30957344480e+01 1.56207058181e+03 -4.28418930170e+01
6.45654229035e+01 1.56201527805e+03 -4.38382575923e+01
6.60693448008e+01 1.56195737211e+03 -4.48577196519e+01
6.76082975392e+01 1.56189674173e+03 -4.59008092936e+01
6.91830970919e+01 1.56183325898e+03 -4.69680683989e+01
7.07945784384e+01 1.56176678991e+03 -4.80600508669e+01
7.24435960075e+01 1.56169719431e+03 -4.91773228518e+01
7.41310241301e+01 1.56162432541e+03 -5.03204630018e+01
7.58577575029e+01 1.56154802959e+03 -5.14900627014e+01
7.76247116629e+01 1.56146814605e+03 -5.26867263149e+01
7.94328234724e+01 1.56138450646e+03 -5.39110714324e+01
