# TEMPERATURE = 2.500000e+01
# FREQ WR(AV) WI(AV)
1.23026877081e+01 -3.31228245949e-01 6.58739397051e-03
1.25892541179e+01 -3.31226584458e-01 6.74082499038e-03
1.28824955169e+01 -3.31224844669e-01 6.89782922722e-03
1.31825673856e+01 -3.31223022891e-01 7.05848986543e-03
1.34896288259e+01 -3.31221115260e-01 7.22289202368e-03
1.38038426460e+01 -3.31219117733e-01 7.39112279975e-03
1.41253754462e+01 -3.31217026072e-01 7.56327131636e-03
1.44543977075e+01 -3.31214835842e-01 7.73942876809e-03
1.47910838817e+01 -3.31212542397e-01 7.91968846931e-03
1.51356124844e+01 -3.31210140875e-01 8.10414590326e-03
1.54881661891e+01 -3.31207626183e-01 8.29289877227e-03
1.58489319246e+01 -3.31204992988e-01 8.48604704901e-03
1.62181009736e+01 -3.31202235706e-01 8.68369302906e-03
1.65958690744e+01 -3.31199348491e-01 8.88594138454e-03
1.69824365246e+01 -3.31196325220e-01 9.09289921912e-03
1.73780082875e+01 -3.31193159483e-01 9.30467612407e-03
1.77827941004e+01 -3.31189844566e-01 9.52138423577e-03
1.81970085861e+01 -3.31186373442e-01 9.74313829443e-03
1.86208713666e+01 -3.31182738749e-01 9.97005570413e-03
1.90546071796e+01 -3.31178932782e-01 1.02022565943e-02
1.94984459976e+01 -3.31174947470e-01 1.04398638825e-02
1.99526231497e+01 -3.31170774364e-01 1.06830033386e-02
2.04173794467e+01 -3.31166404616e-01 1.09318036505e-02
2.08929613085e+01 -3.31161828960e-01 1.11863964913e-02
2.13796208950e+01 -3.31157037698e-01 1.14469165880e-02
2.18776162395e+01 -3.31152020670e-01 1.17135017915e-02
2.23872113857e+01 -3.31146767241e-01 1.19862931484e-02
2.29086765277e+01 -3.31141266273e-01 1.22654349745e-02
2.34422881532e+01 -3.31135506106e-01 1.25510749298e-02
2.39883291902e+01 -3.31129474528e-01 1.28433640949e-02
2.45470891569e+01 -3.31123158752e-01 1.31424570494e-02
2.51188643151e+01 -3.31116545395e-01 1.34485119523e-02
2.57039578277e+01 -3.31109620434e-01 1.37616906235e-02
2.63026799190e+01 -3.31102369195e-01 1.40821586273e-02
2.69153480393e+01 -3.31094776306e-01 1.44100853585e-02
