# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
6.60000000000e-01 1.29242489523e+01 1.45736464052e-06 7.53313756841e-03 3.28904784101e-10 2.90891601563e-10 3.29950313043e-10 2.74599858298e+01 1.00267960320e-01
6.70000000000e-01 1.25784927673e+01 1.65556884056e-06 7.59538759680e-03 3.28911884418e-10 2.91245835673e-10 3.29972350281e-10 2.84228608990e+01 1.05254202616e-01
6.80000000000e-01 1.22312023795e+01 1.87422271933e-06 7.65232795436e-03 3.28918641491e-10 2.91606910927e-10 3.29995285807e-10 2.94024660446e+01 1.10452029623e-01
6.90000000000e-01 1.18829735026e+01 2.11438742003e-06 7.70466679739e-03 3.28925075285e-10 2.91975013675e-10 3.30019148767e-10 3.03945953146e+01 1.15853020568e-01
7.00000000000e-01 1.15347596555e+01 2.37703314674e-06 7.75300110948e-03 3.28931204424e-10 2.92350334529e-10 3.30043970527e-10 3.13949485951e+01 1.21447615472e-01
7.10000000000e-01 1.11877423451e+01 2.66302830539e-06 7.79783482604e-03 3.28937046295e-10 2.92733068160e-10 3.30069784634e-10 3.23992131261e+01 1.27225342324e-01
7.20000000000e-01 1.08432191068e+01 2.97313199335e-06 7.83959418824e-03 3.28942617137e-10 2.93123413026e-10 3.30096626808e-10 3.34031397921e+01 1.33175052314e-01
7.30000000000e-01 1.05025115937e+01 3.30798984625e-06 7.87864064502e-03 3.28947932127e-10 2.93521571038e-10 3.30124534938e-10 3.44026111898e+01 1.39285151535e-01
7.40000000000e-01 1.01668940669e+01 3.66813306111e-06 7.91528163149e-03 3.28953005458e-10 2.93927747128e-10 3.30153549110e-10 3.53936994245e+01 1.45543819693e-01
7.50000000000e-01 9.83754122933e+00 4.05398026479e-06 7.94977953606e-03 3.28957850412e-10 2.94342148734e-10 3.30183711639e-10 3.63727125305e+01 1.51939208678e-01
7.60000000000e-01 9.51549338186e+00 4.46584179312e-06 7.98235913975e-03 3.28962479422e-10 2.94764985162e-10 3.30215067126e-10 3.73362292475e+01 1.58459616217e-01
7.70000000000e-01 9.20163632489e+00 4.90392589077e-06 8.01321377704e-03 3.28966904139e-10 2.95196466821e-10 3.30247662518e-10 3.82811225754e+01 1.65093632074e-01
7.80000000000e-01 8.89669321006e+00 5.36834632907e-06 8.04251043335e-03 3.28971135482e-10 2.95636804318e-10 3.30281547186e-10 3.92045730482e+01 1.71830256124e-01
7.90000000000e-01 8.60122559549e+00 5.85913096076e-06 8.07039396178e-03 3.28975183692e-10 2.96086207374e-10 3.30316773017e-10 4.01040730023e+01 1.78658989150e-01
8.00000000000e-01 8.31564118444e+00 6.37623077859e-06 8.09699057252e-03 3.28979058379e-10 2.96544883556e-10 3.30353394506e-10 4.09774232956e+01 1.85569898339e-01
8.10000000000e-01 8.04020606116e+00 6.91952910680e-06 8.12241072307e-03 3.28982768569e-10 2.97013036796e-10 3.30391468874e-10 4.18227239769e+01 1.92553660125e-01
8.20000000000e-01 7.77505961801e+00 7.48885062534e-06 8.14675151520e-03 3.28986322738e-10 2.97490865659e-10 3.30431056181e-10 4.26383603540e+01 1.99601583482e-01
8.30000000000e-01 7.52023075035e+00 8.08396999614e-06 8.17009868631e-03 3.28989728855e-10 2.97978561345e-10 3.30472219465e-10 4.34229857796e+01 2.06705616837e-01
8.40000000000e-01 7.27565424909e+00 8.70461992696e-06 8.19252826713e-03 3.28992994415e-10 2.98476305383e-10 3.30515024875e-10 4.41755023122e+01 2.13858341721e-01
8.50000000000e-01 7.04118662983e+00 9.35049856581e-06 8.21410796500e-03 3.28996126469e-10 2.98984266990e-10 3.30559541831e-10 4.48950402244e+01 2.21052956066e-01
8.60000000000e-01 6.81662089399e+00 1.00212761680e-05 8.23489832116e-03 3.28999131657e-10 2.99502600055e-10 3.30605843184e-10 4.55809371455e+01 2.28283249720e-01
8.70000000000e-01 6.60169992060e+00 1.07166010164e-05 8.25495368173e-03 3.29002016233e-10 3.00031439721e-10 3.30654005390e-10 4.62327174515e+01 2.35543574451e-01
8.80000000000e-01 6.39612834313e+00 1.14361046058e-05 8.27432301495e-03 3.29004786090e-10 3.00570898518e-10 3.30704108699e-10 4.68500723611e+01 2.42828810315e-01
8.90000000000e-01 6.19958287831e+00 1.21794061241e-05 8.29305060122e-03 3.29007446787e-10 3.01121062030e-10 3.30756237355e-10 4.74328410595e+01 2.50134329961e-01
9.00000000000e-01 6.01172115247e+00 1.29461162758e-05 8.31117661781e-03 3.29010003564e-10 3.01681984055e-10 3.30810479805e-10 4.79809930614e+01 2.57455962112e-01
9.10000000000e-01 5.83218912117e+00 1.37358405052e-05 8.32873763605e-03 3.29012461371e-10 3.02253681239e-10 3.30866928931e-10 4.84946119358e+01 2.64789955173e-01
