# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP)
9.40000000000e-01 2.62713989700e+00 2.50223807443e-05 8.59665025510e-03 3.52468159488e-10 3.45293261483e-10 2.70995864049e-10 2.55253924582e+01 -6.48331468745e-01
9.50000000000e-01 2.58514505100e+00 2.56830449803e-05 8.60544593475e-03 3.52468543873e-10 3.45533504356e-10 2.71127968683e-10 2.53775904563e+01 -6.58697450289e-01
9.60000000000e-01 2.54435847918e+00 2.63502450399e-05 8.61405946502e-03 3.52468913769e-10 3.45773251979e-10 2.71266334981e-10 2.52245717030e+01 -6.69096547030e-01
9.70000000000e-01 2.50472866758e+00 2.70239108946e-05 8.62249663697e-03 3.52469269842e-10 3.46012296672e-10 2.71411297800e-10 2.50661027611e+01 -6.79528918294e-01
9.80000000000e-01 2.46620674132e+00 2.77039729904e-05 8.63076295496e-03 3.52469612726e-10 3.46250412261e-10 2.71563212127e-10 2.49019301801e+01 -6.89994727087e-01
9.90000000000e-01 2.42874628122e+00 2.83903621673e-05 8.63886365264e-03 3.52469943017e-10 3.46487353443e-10 2.71722454413e-10 2.47317797132e+01 -7.00494139776e-01
1.00000000000e+00 2.39230315212e+00 2.90830095746e-05 8.64680370762e-03 3.52470261281e-10 3.46722855387e-10 2.71889423998e-10 2.45553555940e+01 -7.11027325829e-01
1.01000000000e+00 2.35683534189e+00 2.97818465780e-05 8.65458785470e-03 3.52470568053e-10 3.46956633606e-10 2.72064544639e-10 2.43723399063e+01 -7.21594457570e-01
1.02000000000e+00 2.32230280996e+00 3.04868046594e-05 8.66222059814e-03 3.52470863843e-10 3.47188384200e-10 2.72248266150e-10 2.41823920866e+01 -7.32195709976e-01
1.03000000000e+00 2.28866734463e+00 3.11978153083e-05 8.66970622264e-03 3.52471149131e-10 3.47417784511e-10 2.72441066152e-10 2.39851486077e+01 -7.42831260493e-01
1.04000000000e+00 2.25589242800e+00 3.19148099018e-05 8.67704880350e-03 3.52471424373e-10 3.47644494294e-10 2.72643451954e-10 2.37802229038e+01 -7.53501288877e-01
1.05000000000e+00 2.22394310790e+00 3.26377195745e-05 8.68425221573e-03 3.52471690004e-10 3.47868157455e-10 2.72855962571e-10 2.35672056051e+01 -7.64205977060e-01
1.06000000000e+00 2.19278587589e+00 3.33664750738e-05 8.69132014238e-03 3.52471946435e-10 3.48088404428e-10 2.73079170877e-10 2.33456651654e+01 -7.74945509026e-01
1.07000000000e+00 2.16238855066e+00 3.41010066013e-05 8.69825608201e-03 3.52472194056e-10 3.48304855224e-10 2.73313685922e-10 2.31151489784e+01 -7.85720070705e-01
1.08000000000e+00 2.13272016617e+00 3.48412436378e-05 8.70506335542e-03 3.52472433238e-10 3.48517123193e-10 2.73560155412e-10 2.28751850938e+01 -7.96529849888e-01
1.09000000000e+00 2.10375086383e+00 3.55871147483e-05 8.71174511163e-03 3.52472664334e-10 3.48724819467e-10 2.73819268367e-10 2.26252846567e+01 -8.07375036146e-01
1.10000000000e+00 2.07545178825e+00 3.63385473678e-05 8.71830433320e-03 3.52472887680e-10 3.48927558057e-10 2.74091757965e-10 2.23649452124e+01 -8.18255820761e-01
1.11000000000e+00 2.04779498593e+00 3.70954675623e-05 8.72474384085e-03 3.52473103593e-10 3.49124961505e-10 2.74378404599e-10 2.20936550266e+01 -8.29172396672e-01
1.12000000000e+00 2.02075330666e+00 3.78577997654e-05 8.73106629747e-03 3.52473312379e-10 3.49316666953e-10 2.74680039148e-10 2.18108985872e+01 -8.40124958422e-01
1.13000000000e+00 1.99430030709e+00 3.86254664851e-05 8.73727421149e-03 3.52473514326e-10 3.49502332463e-10 2.74997546472e-10 2.15161634526e+01 -8.51113702122e-01
1.14000000000e+00 1.96841015641e+00 3.93983879799e-05 8.74336993964e-03 3.52473709708e-10 3.49681643357e-10 2.75331869174e-10 2.12089486168e+01 -8.62138825409e-01
1.15000000000e+00 1.94305754398e+00 4.01764819004e-05 8.74935568910e-03 3.52473898788e-10 3.49854318338e-10 2.75684011612e-10 2.08887745431e+01 -8.73200527420e-01
1.16000000000e+00 1.91821758901e+00 4.09596628936e-05 8.75523351907e-03 3.52474081816e-10 3.50020115122e-10 2.76055044200e-10 2.05551949995e+01 -8.84299008772e-01
1.17000000000e+00 1.89386575262e+00 4.17478421667e-05 8.76100534175e-03 3.52474259030e-10 3.50178835341e-10 2.76446108009e-10 2.02078107795e+01 -8.95434471533e-01
1.18000000000e+00 1.86997775275e+00 4.25409270081e-05 8.76667292271e-03 3.52474430656e-10 3.50330328450e-10 2.76858419690e-10 1.98462853340e+01 -9.06607119217e-01
1.19000000000e+00 1.84652948281e+00 4.33388202628e-05 8.77223788065e-03 3.52474596912e-10 3.50474494488e-10 2.77293276732e-10 1.94703622469e+01 -9.17817156762e-01
1.20000000000e+00 1.82349693527e+00 4.41414197609e-05 8.77770168658e-03 3.52474758003e-10 3.50611285514e-10 2.77752063082e-10 1.90798843715e+01 -9.29064790530e-01
