# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP)
1.08000000000e+00 3.55480692496e+00 1.02226468649e-05 8.32661697986e-03 3.58268459554e-10 3.45959146526e-10 3.17845643890e-10 5.44860925319e+01 -4.10230890789e-01
1.09000000000e+00 3.48146757033e+00 1.05886709231e-05 8.33670004279e-03 3.58269295396e-10 3.46550134379e-10 3.17945646566e-10 5.41404533429e+01 -4.18318748674e-01
1.10000000000e+00 3.41075770770e+00 1.09599050671e-05 8.34651501222e-03 3.58270103376e-10 3.47132066558e-10 3.18049459748e-10 5.37882232110e+01 -4.26429717755e-01
1.11000000000e+00 3.34255129767e+00 1.13362789742e-05 8.35607401568e-03 3.58270884636e-10 3.47703541000e-10 3.18157243600e-10 5.34296187755e+01 -4.34563606931e-01
1.12000000000e+00 3.27672932109e+00 1.17177238940e-05 8.36538836089e-03 3.58271640258e-10 3.48263166948e-10 3.18269165911e-10 5.30648423074e+01 -4.42720257293e-01
1.13000000000e+00 3.21317936638e+00 1.21041726046e-05 8.37446861089e-03 3.58272371276e-10 3.48809587061e-10 3.18385402487e-10 5.26940826321e+01 -4.50899539024e-01
1.14000000000e+00 3.15179523973e+00 1.24955593670e-05 8.38332465056e-03 3.58273078674e-10 3.49341500479e-10 3.18506137585e-10 5.23175159802e+01 -4.59101348571e-01
1.15000000000e+00 3.09247659721e+00 1.28918198778e-05 8.39196574551e-03 3.58273763389e-10 3.49857686009e-10 3.18631564355e-10 5.19353067730e+01 -4.67325606076e-01
1.16000000000e+00 3.03512859772e+00 1.32928912217e-05 8.40040059437e-03 3.58274426315e-10 3.50357024515e-10 3.18761885320e-10 5.15476083443e+01 -4.75572253033e-01
1.17000000000e+00 2.97966157604e+00 1.36987118236e-05 8.40863737544e-03 3.58275068303e-10 3.50838519553e-10 3.18897312878e-10 5.11545636055e+01 -4.83841250171e-01
1.18000000000e+00 2.92599073483e+00 1.41092214016e-05 8.41668378832e-03 3.58275690165e-10 3.51301315321e-10 3.19038069835e-10 5.07563056558e+01 -4.92132575523e-01
1.19000000000e+00 2.87403585479e+00 1.45243609192e-05 8.42454709116e-03 3.58276292679e-10 3.51744711114e-10 3.19184389976e-10 5.03529583418e+01 -5.00446222685e-01
1.20000000000e+00 2.82372102201e+00 1.49440725397e-05 8.43223413416e-03 3.58276876583e-10 3.52168171634e-10 3.19336518656e-10 4.99446367696e+01 -5.08782199237e-01
