# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
2.70000000000e-01 2.77500414847e+01 3.83328764406e-08 1.83720528158e-03 3.09820641654e-10 3.07575828151e-10 2.97335329070e-10 4.55233351024e+00 4.54711276530e-02
2.80000000000e-01 2.71276596607e+01 5.04379743967e-08 2.13825890648e-03 3.09822058932e-10 3.07598782987e-10 2.97338095331e-10 4.59852358838e+00 4.61210430759e-02
2.90000000000e-01 2.64483033781e+01 6.59351021057e-08 2.45453637789e-03 3.09823367989e-10 3.07621775829e-10 2.97341345262e-10 4.65617477665e+00 4.69346411806e-02
3.00000000000e-01 2.57141387303e+01 8.55865009403e-08 2.78085715216e-03 3.09824577926e-10 3.07644806699e-10 2.97345113117e-10 4.72706267476e+00 4.79387485428e-02
3.10000000000e-01 2.49288930352e+01 1.10253620785e-07 3.11213622548e-03 3.09825697059e-10 3.07667875617e-10 2.97349429082e-10 4.81284084229e+00 4.91592631603e-02
3.20000000000e-01 2.40980597722e+01 1.40886328471e-07 3.44358575239e-03 3.09826732979e-10 3.07690982596e-10 2.97354319219e-10 4.91490648108e+00 5.06194026949e-02
3.30000000000e-01 2.32291247505e+01 1.78505151541e-07 3.77086862879e-03 3.09827692613e-10 3.07714127641e-10 2.97359805566e-10 5.03427656393e+00 5.23380354966e-02
3.40000000000e-01 2.23316934230e+01 2.24178100276e-07 4.09020955545e-03 3.09828582279e-10 3.07737310753e-10 2.97365906381e-10 5.17149827002e+00 5.43284019630e-02
3.50000000000e-01 2.14173524668e+01 2.78995304180e-07 4.39846489103e-03 3.09829407740e-10 3.07760531926e-10 2.97372636514e-10 5.32661265629e+00 5.65974838007e-02
3.60000000000e-01 2.04991402024e+01 3.44045888874e-07 4.69315221592e-03 3.09830174251e-10 3.07783791144e-10 2.97380007876e-10 5.49917901246e+00 5.91461436829e-02
3.70000000000e-01 1.95906301724e+01 4.20401530451e-07 4.97244268034e-03 3.09830886604e-10 3.07807088386e-10 2.97388029977e-10 5.68835303077e+00 6.19699793791e-02
3.80000000000e-01 1.87047872908e+01 5.09109689375e-07 5.23512197728e-03 3.09831549172e-10 3.07830423619e-10 2.97396710502e-10 5.89300000120e+00 6.50606781229e-02
3.90000000000e-01 1.78528517398e+01 6.11197046145e-07 5.48052781580e-03 3.09832165944e-10 3.07853796802e-10 2.97406055882e-10 6.11181878853e+00 6.84075724059e-02
4.00000000000e-01 1.70434954568e+01 7.27681050670e-07 5.70847253048e-03 3.09832740560e-10 3.07877207885e-10 2.97416071850e-10 6.34345434448e+00 7.19991060571e-02
4.10000000000e-01 1.62823967200e+01 8.59585693415e-07 5.91915900271e-03 3.09833276342e-10 3.07900656805e-10 2.97426763938e-10 6.58658385523e+00 7.58239994790e-02
4.20000000000e-01 1.55722484600e+01 1.00795710020e-06 6.11309674977e-03 3.09833776327e-10 3.07924143487e-10 2.97438137933e-10 6.83997075003e+00 7.98720138173e-02
4.30000000000e-01 1.49131124009e+01 1.17387524501e-06 6.29102329648e-03 3.09834243289e-10 3.07947667843e-10 2.97450200254e-10 7.10248855817e+00 8.41343156078e-02
4.40000000000e-01 1.43029814665e+01 1.35845947132e-06 6.45383415196e-03 3.09834679763e-10 3.07971229773e-10 2.97462958275e-10 7.37312136945e+00 8.86035122967e-02
4.50000000000e-01 1.37384137901e+01 1.56286704247e-06 6.60252312402e-03 3.09835088068e-10 3.07994829158e-10 2.97476420586e-10 7.65094932871e+00 9.32734599368e-02
