# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
9.30000000000e-01 2.53615082484e+00 8.59378347330e-05 8.96606482633e-03 3.24071472285e-10 3.22972675329e-10 2.66836519462e-10 1.44741635927e+01 5.85533998390e-01
9.40000000000e-01 2.49506379212e+00 8.81270277399e-05 8.97600883820e-03 3.24071526658e-10 3.23010726953e-10 2.67069164485e-10 1.45191431152e+01 5.94573385748e-01
9.50000000000e-01 2.45512782424e+00 9.03353885916e-05 8.98581315783e-03 3.24071578958e-10 3.23048555419e-10 2.67312320102e-10 1.45594099026e+01 6.03638216399e-01
9.60000000000e-01 2.41629557380e+00 9.25626298080e-05 8.99548187641e-03 3.24071629283e-10 3.23086133540e-10 2.67566523208e-10 1.45948715364e+01 6.12728691521e-01
9.70000000000e-01 2.37852207440e+00 9.48084663403e-05 9.00501885542e-03 3.24071677722e-10 3.23123431896e-10 2.67832341520e-10 1.46254303537e+01 6.21845015904e-01
9.80000000000e-01 2.34176458900e+00 9.70726153871e-05 9.01442774004e-03 3.24071724364e-10 3.23160418753e-10 2.68110375524e-10 1.46509832884e+01 6.30987397584e-01
9.90000000000e-01 2.30598246790e+00 9.93547962020e-05 9.02371197115e-03 3.24071769288e-10 3.23197060005e-10 2.68401260547e-10 1.46714217228e+01 6.40156047516e-01
1.00000000000e+00 2.27113701577e+00 1.01654729895e-04 9.03287479618e-03 3.24071812574e-10 3.23233319151e-10 2.68705668969e-10 1.46866313514e+01 6.49351179297e-01
1.01000000000e+00 2.23719136691e+00 1.03972139220e-04 9.04191927874e-03 3.24071854293e-10 3.23269157306e-10 2.69024312589e-10 1.46964920611e+01 6.58573008911e-01
1.02000000000e+00 2.20411036818e+00 1.06306748359e-04 9.05084830726e-03 3.24071894516e-10 3.23304533271e-10 2.69357945148e-10 1.47008778315e+01 6.67821754507e-01
1.03000000000e+00 2.17186046900e+00 1.08658282682e-04 9.05966460270e-03 3.24071933307e-10 3.23339403652e-10 2.69707365021e-10 1.46996566611e+01 6.77097636207e-01
1.04000000000e+00 2.14040961778e+00 1.11026468502e-04 9.06837072530e-03 3.24071970730e-10 3.23373723053e-10 2.70073418096e-10 1.46926905239e+01 6.86400875935e-01
1.05000000000e+00 2.10972716430e+00 1.13411032807e-04 9.07696908058e-03 3.24072006843e-10 3.23407444349e-10 2.70457000846e-10 1.46798353649e+01 6.95731697264e-01
1.06000000000e+00 2.07978376755e+00 1.15811702978e-04 9.08546192455e-03 3.24072041703e-10 3.23440519034e-10 2.70859063606e-10 1.46609411413e+01 7.05090325286e-01
1.07000000000e+00 2.05055130843e+00 1.18228206480e-04 9.09385136819e-03 3.24072075363e-10 3.23472897670e-10 2.71280614078e-10 1.46358519183e+01 7.14476986499e-01
1.08000000000e+00 2.02200280705e+00 1.20660270537e-04 9.10213938124e-03 3.24072107873e-10 3.23504530414e-10 2.71722721071e-10 1.46044060308e+01 7.23891908700e-01
1.09000000000e+00 1.99411234404e+00 1.23107621776e-04 9.11032779541e-03 3.24072139283e-10 3.23535367648e-10 2.72186518492e-10 1.45664363220e+01 7.33335320901e-01
1.10000000000e+00 1.96685498554e+00 1.25569985841e-04 9.11841830687e-03 3.24072169636e-10 3.23565360675e-10 2.72673209605e-10 1.45217704731e+01 7.42807453254e-01
1.11000000000e+00 1.94020671145e+00 1.28047086980e-04 9.12641247820e-03 3.24072198978e-10 3.23594462490e-10 2.73184071584e-10 1.44702314384e+01 7.52308536978e-01
1.12000000000e+00 1.91414434665e+00 1.30538647596e-04 9.13431173977e-03 3.24072227350e-10 3.23622628602e-10 2.73720460361e-10 1.44116380036e+01 7.61838804309e-01
1.13000000000e+00 1.88864549471e+00 1.33044387752e-04 9.14211739051e-03 3.24072254790e-10 3.23649817867e-10 2.74283815807e-10 1.43458054858e+01 7.71398488443e-01
1.14000000000e+00 1.86368847397e+00 1.35564024647e-04 9.14983059816e-03 3.24072281336e-10 3.23675993321e-10 2.74875667249e-10 1.42725465960e+01 7.80987823501e-01
1.15000000000e+00 1.83925225541e+00 1.38097272029e-04 9.15745239894e-03 3.24072307025e-10 3.23701122974e-10 2.75497639360e-10 1.41916724878e+01 7.90607044486e-01
1.16000000000e+00 1.81531640233e+00 1.40643839571e-04 9.16498369668e-03 3.24072331890e-10 3.23725180517e-10 2.76151458426e-10 1.41029940159e+01 8.00256387259e-01
1.17000000000e+00 1.79186101133e+00 1.43203432180e-04 9.17242526143e-03 3.24072355964e-10 3.23748145932e-10 2.76838959031e-10 1.40063232322e+01 8.09936088508e-01
1.18000000000e+00 1.76886665449e+00 1.45775749247e-04 9.17977772741e-03 3.24072379277e-10 3.23770005947e-10 2.77562091167e-10 1.39014751463e+01 8.19646385731e-01
1.19000000000e+00 1.74631432254e+00 1.48360483838e-04 9.18704159056e-03 3.24072401859e-10 3.23790754340e-10 2.78322927799e-10 1.37882697814e+01 8.29387517214e-01
1.20000000000e+00 1.72418536874e+00 1.50957321794e-04 9.19421720535e-03 3.24072423739e-10 3.23810392054e-10 2.79123672910e-10 1.36665345523e+01 8.39159722026e-01
